Object,Close-Approach (CA) Date,CA Distance Nominal (LD | au),CA Distance Minimum (LD | au),V relative (km/s),V infinity (km/s),H (mag),Estimated Diameter
(2017 SG20),2017-Oct-02 03:20Ê±Ê< 00:01,15.25 | 0.03919,15.14 | 0.03891,11.37,11.36,25.3,23 m -   52 m
(2017 SX17),2017-Oct-02 10:20Ê±Ê< 00:01,0.23 | 0.00058,0.23 | 0.00058,7.31,6.66,28.3,5.8 m -   13 m
(2017 SK20),2017-Oct-02 12:20Ê±Ê< 00:01,12.35 | 0.03172,12.24 | 0.03144,9.75,9.74,26.1,16 m -   36 m
(2017 SS16),2017-Oct-03 05:41Ê±Ê< 00:01,5.38 | 0.01383,5.36 | 0.01379,16.28,16.27,26.3,15 m -   33 m
(2017 TY3),2017-Oct-03 07:16Ê±ÊÊÊÊ00:02,4.27 | 0.01097,4.19 | 0.01078,16.69,16.68,25.4,22 m -   49 m
(2017 TE2),2017-Oct-03 11:58Ê±Ê< 00:01,12.96 | 0.03331,12.89 | 0.03312,14.66,14.65,23.3,58 m -  130 m
(2017 SJ19),2017-Oct-04 03:17Ê±ÊÊÊÊ00:01,17.11 | 0.04398,16.64 | 0.04276,5.52,5.51,27.1,10 m -   23 m
(2017 TS1),2017-Oct-04 04:18Ê±Ê< 00:01,7.40 | 0.01901,7.38 | 0.01897,10.43,10.41,24.7,31 m -   68 m
(2017 SO10),2017-Oct-04 04:54Ê±Ê< 00:01,16.60 | 0.04264,16.58 | 0.04260,8.38,8.37,24.6,32 m -   71 m
(2017 UL1),2017-Oct-04 05:13Ê±ÊÊÊÊ00:06,11.26 | 0.02893,10.94 | 0.02811,13.45,13.45,24.8,29 m -   65 m
(2017 TF1),2017-Oct-04 09:02Ê±Ê< 00:01,10.88 | 0.02795,10.87 | 0.02794,2.37,2.33,26.7,12 m -   27 m
(2004 RE84),2017-Oct-04 14:59Ê±Ê< 00:01,15.21 | 0.03908,15.21 | 0.03908,16.09,16.08,21.9,110 m -  250 m
(2017 ST14),2017-Oct-04 16:27Ê±Ê< 00:01,15.95 | 0.04098,15.91 | 0.04089,17.30,17.30,23.5,53 m -  120 m
(2017 SO21),2017-Oct-04 18:51Ê±Ê< 00:01,15.90 | 0.04086,15.87 | 0.04077,5.74,5.73,25.3,23 m -   52 m
(2017 WX13),2017-Oct-05 15:36Ê±ÊÊÊÊ00:02,16.20 | 0.04164,16.20 | 0.04162,3.20,3.18,24.4,35 m -   78 m
(2017 UM2),2017-Oct-05 18:18Ê±Ê< 00:01,18.97 | 0.04875,18.75 | 0.04819,7.56,7.55,26.2,15 m -   34 m
(2017 TB),2017-Oct-05 19:44Ê±Ê< 00:01,1.14 | 0.00293,1.14 | 0.00292,6.03,5.87,29.1,4.0 m -  9.0 m
(2017 UN1),2017-Oct-05 19:44Ê±ÊÊÊÊ00:01,19.07 | 0.04901,18.93 | 0.04865,12.95,12.95,24.8,29 m -   65 m
(2017 UE1),2017-Oct-05 20:14Ê±ÊÊÊÊ00:22,9.64 | 0.02478,9.42 | 0.02421,10.84,10.83,26.2,15 m -   34 m
(2017 TH1),2017-Oct-06 08:19Ê±Ê< 00:01,16.79 | 0.04315,16.74 | 0.04303,8.87,8.87,25.3,23 m -   52 m
(2017 TM4),2017-Oct-06 16:10Ê±Ê< 00:01,1.92 | 0.00494,1.92 | 0.00492,8.13,8.06,27.7,7.7 m -   17 m
(2017 TA),2017-Oct-06 21:32Ê±Ê< 00:01,2.66 | 0.00683,2.65 | 0.00681,11.33,11.29,24.8,29 m -   65 m
(2017 TL2),2017-Oct-07 20:08Ê±Ê< 00:01,6.27 | 0.01612,6.24 | 0.01604,9.24,9.22,27.1,10 m -   23 m
(2017 TE4),2017-Oct-08 08:59Ê±Ê< 00:01,7.09 | 0.01822,7.04 | 0.01808,6.27,6.25,27.3,9.2 m -   21 m
(2017 TP2),2017-Oct-08 15:00Ê±Ê< 00:01,19.35 | 0.04973,19.33 | 0.04967,9.63,9.62,24.5,33 m -   75 m
